name;vorname;Matr-Nr;A1;A2;A3;A4;A5;A6;A7
Schneider;Elias;67038;1;4;2;4;4;4;1
Martin;Nele;39961;0;0;4;3;0;1;4
Engel;Maria;75980;4;0;4;2;4;2;3
Dietrich;Finn;24752;1;1;1;4;3;3;2
Schmidt;Theo;72484;4;1;0;4;4;1;1
Dietrich;Finn;96394;0;2;4;1;1;4;2
Herrmann;Maximilian;79996;2;1;3;3;3;0;2
Beck;Mia;53996;4;0;4;3;4;3;3
Möller;Emma;10157;2;4;1;2;0;0;1
Schubert;Lia;74267;4;1;2;2;3;4;2
Scholz;Lina;65707;1;1;3;2;2;1;4
Walter;Jonathan;26177;3;2;0;3;3;0;0
Hartmann;Kian;97573;0;2;2;3;3;4;0
Roth;Amalia;87908;0;4;4;3;1;0;3
Peters;Jona;99298;3;4;0;3;2;0;4
Schmidt;Theo;48661;3;3;4;3;4;1;1
Engel;Maria;79313;0;3;4;1;2;4;2
Ludwig;Marie;66445;2;3;1;4;0;2;4
Schneider;Elias;28347;4;4;2;2;2;4;3
König;Tim;16677;4;1;2;3;4;2;3
Frank;Leonie;94601;3;3;2;1;0;4;0
Stein;Noah;14591;3;0;0;3;3;4;4
Kühn;Finn;13529;2;4;4;1;4;0;3
Herrmann;Maximilian;32291;1;0;4;0;4;2;2
Winkler;Anna;80739;3;2;0;4;2;1;3
Schröder;Jonas;22829;4;3;4;0;0;2;4
Meyer;Michael;75083;3;3;4;2;0;1;2
Lange;Elia;36548;3;0;2;2;4;1;0
Schubert;Lia;48941;3;2;2;4;4;1;1
Fuchs;Mika;32914;4;3;0;2;2;0;2
Kaiser;Jasper;25990;4;4;1;0;4;2;3
Braun;Julian;43339;2;1;2;4;4;3;4
Winter;Ava;83788;0;4;2;2;2;3;0
Kaiser;Jasper;15523;0;2;2;2;3;1;4
Engel;Maria;68642;0;1;1;2;0;4;1
Hofmann;Lio;16541;0;0;0;1;4;4;1
Wagner;Felix;37486;0;1;1;3;0;4;3
Keller;Ida;46962;1;2;2;0;3;2;0
Martin;Nele;16135;4;4;4;1;1;4;0
Schumacher;Alina;11031;3;2;1;1;1;4;1
Hahn;Ella;16965;2;3;3;4;1;2;3
Engel;Finn;53532;4;0;4;1;1;2;2
Meyer;Michael;91645;3;0;3;1;1;4;1
Schubert;Lia;20694;4;3;3;4;4;1;3
Engel;Nora;90862;4;3;0;1;4;0;4
Peters;Jona;53236;3;2;2;4;4;3;2
Schmitz;Jonah;31483;4;2;0;4;1;4;1
Kaiser;Jasper;91880;4;0;1;0;4;3;4
Wolf;Daniel;99274;4;3;1;1;4;1;4
Schulze;Oliver;24905;4;2;2;0;4;2;3
Ludwig;Marie;46532;2;1;3;2;2;2;1
Hofmann;Lio;16344;1;3;1;2;0;3;4
Zimmermann;Milan;30590;0;4;3;2;0;4;3
Ludwig;Marie;82304;1;2;1;0;0;1;4
Becker;Thomas;28894;1;1;0;2;2;4;1
Köhler;Moritz;49860;3;4;2;4;4;1;3
Winter;Ava;53191;4;1;4;0;3;2;2
Werner;Tobias;69334;0;3;3;4;0;3;2
Fuchs;Mika;94792;2;1;0;2;1;1;2
Richter;Leo;17507;2;0;0;4;4;4;4
Krämer;Elena;65226;2;1;1;4;4;4;4
Schumacher;Alina;46454;2;1;4;3;4;3;3
Engel;Malia;18038;2;0;2;3;1;3;0
Weiß;Fabian;35926;3;2;2;3;4;0;2
Schäfer;Linus;42908;3;4;3;0;4;1;1
Frank;Leonie;62057;3;4;3;1;0;1;0
Weiß;Fabian;59047;4;2;4;0;1;2;2
Haas;Charlotte;14020;4;1;2;2;4;2;4
Herrmann;Maximilian;76084;4;1;4;0;3;1;3
Krause;Luca;84624;3;2;0;3;0;4;2
Schubert;Lia;63433;0;2;4;4;0;3;2
Lang;Kilian;17504;0;3;3;1;1;3;2
Keller;Ida;91618;0;4;1;0;2;4;1
Walter;Jonathan;79019;3;4;2;3;4;0;4
Jung;Emilia;84559;3;2;3;1;2;4;0
Schulte;Finn;14437;3;0;3;1;3;0;1
Jung;Emilia;90631;2;0;1;1;2;0;0
Schreiber;Mina;38084;0;0;1;4;4;4;3
Schäfer;Linus;20787;2;4;0;3;3;2;3
Seidel;Livia;83449;2;4;4;3;1;3;2
Kühn;Finn;47735;0;1;3;0;3;4;0
Beck;Mia;82562;0;0;4;2;2;1;0
