name;vorname;Matr-Nr;A1;A2;A3
Schreiber;Mina;38084;1;3;1
Schäfer;Linus;20787;4;3;4
Peters;Jona;99298;2;1;1
Winkler;Anna;80739;2;2;3
Engel;Maria;20071;0;2;3
Engel;Finn;53532;0;3;0
Kaiser;Jasper;91880;1;0;1
Schulte;Finn;14437;0;1;4
Wolf;Daniel;99274;1;1;2
Schubert;Lia;63433;4;4;0
Weiß;Fabian;59047;3;0;0
Ludwig;Marie;82304;3;2;1
Schubert;Lia;20694;1;3;0
Köhler;Moritz;49860;2;4;0
Jung;Emilia;90631;2;4;1
Beck;Mia;53996;3;2;2
Huber;Jan;13480;0;1;3
Engel;Malia;92355;3;2;1
Zimmermann;Milan;74309;1;3;0
Krämer;Elena;65226;0;1;2
Fuchs;Mika;94792;2;2;3
Lang;Kilian;17504;0;4;3
Schubert;Lia;89681;3;3;2
Schumacher;Alina;11031;0;1;3
Dietrich;Finn;96394;4;3;4
Schneider;Elias;28347;4;4;2
Brandt;Finn;22728;2;2;2
Möller;Emma;10157;1;2;2
Haas;Charlotte;14020;4;4;0
König;Tim;16677;4;4;4
Schubert;Lia;48941;1;0;3
Hartmann;Kian;97573;4;3;4
Keller;Ida;91618;4;1;4
Kaiser;Jasper;15523;1;3;3
Herrmann;Maximilian;32291;3;0;0
Hahn;Ella;16965;0;4;0
Dietrich;Finn;24752;4;0;2
Peters;Jona;53236;1;2;2
Meyer;Michael;62297;0;0;4
Frank;Leonie;94601;2;0;4
Winter;Ava;83788;0;1;3
Fuchs;Mika;32914;4;2;4
Beck;Mia;82562;0;4;4
Köhler;Moritz;41585;1;2;1
Engel;Malia;18038;0;2;1
Engel;Nora;90862;2;1;1
Lange;Elia;36088;4;0;3
Groß;Sophie;72505;2;0;3
Hofmann;Lio;16541;4;2;3
Schulze;Oliver;24905;3;3;2
Scholz;Lina;65707;4;0;4
Walter;Jonathan;26177;1;0;3
Werner;Tobias;69334;3;0;1
Stein;Noah;14591;2;4;1
Hofmann;Lio;16344;1;2;0
Walter;Jonathan;79019;2;1;3
Engel;Maria;75980;2;2;2
Schumacher;Alina;46454;1;2;3
Meyer;Michael;91645;0;3;4
Vogt;Antonia;19918;4;1;2
Schubert;Lia;74267;0;0;2
Zimmermann;Milan;30590;4;0;3
Schmidt;Theo;72484;0;3;1
Schäfer;Linus;42908;0;0;4
Ludwig;Marie;46532;3;4;3
Braun;Julian;43339;1;4;2
Becker;Thomas;28894;4;0;3
Ludwig;Marie;66445;1;0;1
Schmitz;Jonah;31483;4;4;2
Weiß;Fabian;35926;0;2;1
