name;vorname;Matr-Nr;A1;A2;A3
Winter;Ava;53191;4;0;4
Meyer;Michael;91645;0;4;1
Schmitz;Jonah;31483;2;4;2
Schmidt;Theo;72484;1;2;0
Engel;Maria;68642;1;0;2
Köhler;Moritz;41585;3;1;2
Schumacher;Alina;46454;2;1;3
Meyer;Michael;62297;1;2;3
Schubert;Lia;63433;1;2;4
Jung;Emilia;84559;0;0;4
Wagner;Felix;37486;2;1;3
Engel;Nora;90862;0;3;1
Krause;Luca;84624;2;1;2
Keller;Ida;91618;2;0;0
Kühn;Finn;47735;3;2;3
Schulte;Finn;14437;3;3;3
König;Tim;16677;0;0;1
Schulze;Oliver;54636;0;3;2
Schulze;Oliver;24905;2;4;2
Winkler;Anna;80739;4;0;1
Engel;Maria;79313;4;0;0
Walter;Jonathan;26177;3;2;3
Schubert;Lia;48941;4;0;1
Groß;Sophie;92913;4;0;1
Stein;Noah;14591;3;2;2
Jung;Emilia;90631;2;0;1
Seidel;Livia;83449;4;0;1
Engel;Malia;18038;2;1;2
Roth;Amalia;87908;2;2;2
Hartmann;Kian;97573;3;2;1
Wolf;Daniel;99274;4;1;3
Hofmann;Lio;16541;2;0;4
Schneider;Elias;67038;3;0;1
Keller;Ida;46962;4;3;2
Engel;Malia;92355;0;3;1
Fuchs;Mika;94792;3;2;2
Kaiser;Jasper;91880;0;4;4
Dietrich;Finn;24752;0;3;3
Richter;Leo;17507;1;4;2
Schäfer;Linus;20787;3;0;1
Brandt;Finn;22728;2;3;3
Fuchs;Mika;32914;1;1;3
Schreiber;Mina;38084;4;2;3
Peters;Jona;99298;0;1;1
Lange;Elia;35053;2;4;2
Haas;Charlotte;14020;3;1;2
Kaiser;Jasper;15523;4;4;1
Lange;Elia;36088;3;4;1
Frank;Leonie;94601;4;0;4
Schumacher;Alina;11031;1;1;0
Engel;Maria;20071;4;1;2
Martin;Nele;16135;3;4;1
Weiß;Fabian;35926;2;3;0
Ludwig;Marie;66445;4;1;4
Huber;Jan;13480;3;0;0
Werner;Tobias;69334;1;3;4
Ludwig;Marie;82304;4;1;1
Hahn;Ella;16965;4;1;4
Martin;Nele;36478;1;4;0
Engel;Maria;75980;1;0;3
Herrmann;Maximilian;79996;0;3;4
Winkler;Anna;95601;2;2;0
Beck;Mia;53996;3;0;4
Beck;Mia;82562;0;0;3
Dietrich;Finn;64478;0;0;4
Winter;Ava;83788;4;4;3
Schmidt;Theo;48661;1;1;4
Vogt;Antonia;19918;4;0;3
Braun;Julian;43339;0;3;3
Schneider;Elias;28347;2;4;0
Lange;Elia;36548;2;3;1
Krämer;Elena;65226;3;4;0
Schubert;Lia;20694;4;2;1
Schubert;Lia;89681;1;1;1
