name;vorname;Matr-Nr;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
Hartmann;Kian;97573;1;1;2;4;2;3;1;2;3;1
Martin;Nele;36478;3;1;3;1;2;2;1;2;4;3
Ludwig;Marie;82304;1;2;1;3;4;2;0;2;2;0
Vogt;Antonia;19918;4;4;0;0;4;3;4;3;2;1
Meyer;Michael;75083;2;4;4;4;0;4;4;2;0;0
Köhler;Moritz;41585;3;4;2;3;2;4;3;4;0;4
Fuchs;Mika;94792;4;0;0;2;3;0;0;2;1;4
Kaiser;Jasper;25990;3;3;0;0;4;4;2;0;1;2
Köhler;Moritz;49860;0;2;1;4;2;0;4;4;4;3
Zimmermann;Milan;74309;3;3;3;2;3;0;4;2;0;0
Scholz;Lina;65707;4;2;2;2;3;0;4;2;1;1
Hofmann;Lio;16541;1;1;3;3;0;1;1;1;4;1
Kaiser;Jasper;91880;2;0;3;0;4;3;4;1;0;1
Braun;Julian;43339;4;2;3;1;1;2;0;3;2;1
Schmidt;Theo;72484;4;3;1;1;1;2;3;1;0;3
Wagner;Felix;37486;0;4;3;1;2;1;3;2;1;4
Haas;Charlotte;14020;0;3;1;1;0;3;0;3;0;4
Schäfer;Linus;42908;1;0;3;4;3;0;3;0;1;2
Stein;Noah;14591;2;1;2;1;1;1;1;4;0;2
Winter;Ava;53191;0;0;4;2;0;0;0;4;0;1
Engel;Malia;92355;3;2;1;0;4;3;0;0;3;4
Dietrich;Finn;24752;4;1;4;4;4;2;1;1;3;4
Martin;Nele;16135;0;4;0;4;2;4;1;2;4;0
Weiß;Fabian;59047;2;0;3;2;4;0;0;3;4;1
Schneider;Elias;67038;4;0;4;1;0;0;3;2;3;3
Schulze;Oliver;24905;1;4;2;0;3;4;2;1;4;3
Herrmann;Maximilian;32291;2;2;4;2;0;1;3;0;0;1
Keller;Ida;91618;0;2;3;3;2;1;0;1;3;0
Hahn;Ella;71910;2;0;0;2;2;2;0;3;1;4
Krause;Luca;84624;0;3;4;0;3;3;3;0;1;4
Schreiber;Mina;38084;4;1;4;3;2;4;0;1;3;1
Hofmann;Lio;16344;0;3;3;3;3;4;1;3;1;3
Peters;Jona;53236;4;2;3;4;0;3;0;4;3;3
Engel;Finn;53532;1;4;1;1;1;4;3;2;3;0
Schubert;Lia;48941;1;0;4;4;2;0;4;4;3;4
Schmitz;Jonah;31483;3;3;0;0;0;0;4;3;3;3
Ludwig;Marie;46532;1;3;1;4;1;1;2;4;2;0
Kühn;Finn;13529;0;0;4;0;4;4;4;3;1;1
Meyer;Michael;91645;2;4;4;0;0;4;0;4;4;2
Möller;Emma;10157;2;0;2;1;0;0;4;2;3;1
Beck;Mia;53996;4;0;3;4;4;0;3;1;3;1
Schubert;Lia;20694;3;0;3;1;4;1;0;2;3;1
Becker;Thomas;28894;0;0;4;2;4;0;3;0;2;1
Schneider;Elias;28347;0;4;1;4;2;0;1;1;2;2
Weiß;Fabian;35926;3;0;1;3;4;2;3;0;2;3
